"1800BNBS0A1","",371429,409024,"Bolton Bus Station","Stand A","NA","BLACKHORSE ST","Bolton Bus Station","E0057777","","","BCS","MKD","TIP","ACT",2,"SHORT NAME ADDED","Y","MANTMAJD","Stand A","2010-03-15"
"1800BNBS0B1","",371411,409019,"Bolton Bus Station","Stand B","NA","BLACKHORSE ST","Bolton Bus Station","E0057777","","","BCS","MKD","TIP","ACT",2,"SHORT NAME ADDED","Y","MANTMAJG","Stand B","2010-03-15"
"1800BNBS0C1","",371393,409014,"Bolton Bus Station","Stand C","NA","BLACKHORSE ST","Bolton Bus Station","E0057777","","","BCS","MKD","TIP","ACT",2,"SHORT NAME ADDED","Y","MANTMAJM","Stand C","2010-03-15"
"1800BNBS0D1","",371365,409006,"Bolton Bus Station","Stand D","NA","BLACKHORSE ST","Bolton Bus Station","E0057777","","","BCS","MKD","TIP","ACT",2,"SHORT NAME ADDED","Y","MANTMAJP","Stand D","2010-03-15"
"1800BNBS0E1","",371445,409045,"Bolton Bus Station","Stand E","NA","BLACKHORSE ST","Bolton Bus Station","E0057777","","","BCS","MKD","TIP","ACT",2,"SHORT NAME ADDED","Y","MANTMAJT","Stand E","2010-03-15"
"1800BNBS0F1","",371429,409041,"Bolton Bus Station","Stand F","NA","BLACKHORSE ST","Bolton Bus Station","E0057777","","","BCS","MKD","TIP","ACT",2,"SHORT NAME ADDED","Y","MANTMAJW","Stand F","2010-03-15"
"1800BNBS0G1","",371411,409036,"Bolton Bus Station","Stand G","NA","BLACKHORSE ST","Bolton Bus Station","E0057777","","","BCS","MKD","TIP","ACT",2,"SHORT NAME ADDED","Y","MANTMAMA","Stand G","2010-03-15"
"1800BNBS0H1","",371394,409030,"Bolton Bus Station","Stand H","NA","BLACKHORSE ST","Bolton Bus Station","E0057777","","","BCS","MKD","TIP","ACT",2,"SHORT NAME ADDED","Y","MANTMAMD","Stand H","2010-03-15"
"1800BNBS0J1","",371435,409057,"Bolton Bus Station","Stand J","NA","BLACKHORSE ST","Bolton Bus Station","E0057777","","","BCS","MKD","TIP","ACT",2,"SHORT NAME ADDED","Y","MANTMAMG","Stand J","2010-03-15"
"1800BNBS0K1","",371418,409052,"Bolton Bus Station","Stand K","NA","BLACKHORSE ST","Bolton Bus Station","E0057777","","","BCS","MKD","TIP","ACT",2,"SHORT NAME ADDED","Y","MANTMAMJ","Stand K","2010-03-15"
"1800BNBS0L1","",371404,409048,"Bolton Bus Station","Stand L","NA","BLACKHORSE ST","Bolton Bus Station","E0057777","","","BCS","MKD","TIP","ACT",2,"SHORT NAME ADDED","Y","MANTMAMP","Stand L","2010-03-15"
"1800BNBS0M1","",371382,409042,"Bolton Bus Station","Stand M","NA","BLACKHORSE ST","Bolton Bus Station","E0057777","","","BCS","MKD","TIP","ACT",2,"SHORT NAME ADDED","Y","MANTMAMT","Stand M","2010-03-15"
"1800BNBS0N1","",371430,409072,"Bolton Bus Station","Stand N","NA","BLACKHORSE ST","Bolton Bus Station","E0057777","","","BCS","MKD","TIP","ACT",2,"SHORT NAME ADDED","Y","MANTMAMW","Stand N","2010-03-15"
"1800BNBS0P1","",371406,409066,"Bolton Bus Station","Stand P","NA","BLACKHORSE ST","Bolton Bus Station","E0057777","","","BCS","MKD","TIP","ACT",2,"SHORT NAME ADDED","Y","MANTMAPA","Stand P","2010-03-15"
"1800BNBS0Q1","",371389,409061,"Bolton Bus Station","Stand Q","NA","BLACKHORSE ST","Bolton Bus Station","E0057777","","","BCS","MKD","TIP","ACT",2,"SHORT NAME ADDED","Y","MANTMAPD","Stand Q","2010-03-15"
"1800BNBS0R1","",371371,409056,"Bolton Bus Station","Stand R","NA","BLACKHORSE ST","Bolton Bus Station","E0057777","","","BCS","MKD","TIP","ACT",2,"SHORT NAME ADDED","Y","MANTMAPG","Stand R","2010-03-15"
"1800BNBS0S1","",371415,409080,"Bolton Bus Station","Stand S","NA","BLACKHORSE ST","Bolton Bus Station","E0057777","","","BCS","MKD","TIP","ACT",2,"SHORT NAME ADDED","Y","MANTMAPJ","Stand S","2010-03-15"
"1800BNBS0T1","",371393,409073,"Bolton Bus Station","Stand T","NA","BLACKHORSE ST","Bolton Bus Station","E0057777","","","BCS","MKD","TIP","ACT",2,"SHORT NAME ADDED","Y","MANTMAPM","Stand T","2010-03-15"
"1800BNBS0U1","",371375,409069,"Bolton Bus Station","Stand U","NA","BLACKHORSE ST","Bolton Bus Station","E0057777","","","BCS","MKD","TIP","ACT",2,"SHORT NAME ADDED","Y","MANTMAPT","Stand U","2010-03-15"
"1800BNBS0V1","",371360,409064,"Bolton Bus Station","Stand V","NA","BLACKHORSE ST","Bolton Bus Station","E0057777","","","BCS","MKD","TIP","ACT",2,"SHORT NAME ADDED","Y","MANTMAPW","Stand V","2010-03-15"
"1800BNBS0W1","",371418,409092,"Bolton Bus Station","Stand W","NA","BLACKHORSE ST","Bolton Bus Station","E0057777","","","BCS","MKD","TIP","ACT",2,"SHORT NAME ADDED","Y","MANTMATA","Stand W","2010-03-15"
"1800BNBS0X1","",371401,409087,"Bolton Bus Station","Stand X","NA","BLACKHORSE ST","Bolton Bus Station","E0057777","","","BCS","MKD","TIP","ACT",2,"SHORT NAME ADDED","Y","MANTMATD","Stand X","2010-03-15"
"1800BNBS0Y1","",371384,409083,"Bolton Bus Station","Stand Y","NA","BLACKHORSE ST","Bolton Bus Station","E0057777","","","BCS","MKD","TIP","ACT",2,"SHORT NAME ADDED","Y","MANTMATG","Stand Y","2010-03-15"
"1800BNBS0Z1","",371354,409074,"Bolton Bus Station","Stand Z","NA","BLACKHORSE ST","Bolton Bus Station","E0057777","","","BCS","MKD","TIP","ACT",2,"SHORT NAME ADDED","Y","MANTMATJ","Stand Z","2010-03-15"
"1800BNBSHH1","",371374,409027,"Bolton Bus Station","Stand HH","NA","BLACKHORSE ST","Bolton Bus Station","E0057777","","","BCS","MKD","TIP","ACT",2,"SHORT NAME ADDED","Y","MANTMATM","","2010-03-15"
"1800BNIC001","",371804,408756,"Bolton Interchange","Op Church","NA","TRINITY ST","Bolton Interchange","E0057777","","","BCS","MKD","TIP","ACT",3,"LOCATION AMENDED","Y","MANADADW","Interchange","2014-09-16"
"1800BNIC0A1","",371806,408725,"Bolton Interchange","Stand A","NA","TRINITY ST","Bolton Interchange","E0057777","","","BCS","MKD","TIP","ACT",3,"LOCATION AMENDED","Y","MANTMATP","Stand A","2014-09-16"
"1800BNIC0B1","",371794,408750,"Bolton Interchange","Stand B","NA","TRINITY ST","Bolton Interchange","E0057777","","","BCS","MKD","TIP","ACT",3,"LOCATION AMENDED","Y","MANTMATW","Stand B","2014-09-16"
"1800BNIC0C1","",371786,408768,"Bolton Interchange","Stand C","NA","TRINITY ST","Bolton Interchange","E0057777","","","BCS","MKD","TIP","ACT",3,"LOCATION AMENDED","Y","MANTMAWA","Stand C","2014-09-16"
"1800BYIC001","",380424,410573,"Bury Interchange","Nr Kay Garden","NA","HAYMARKET ST","Bury Interchange","E0028659","","","BCS","MKD","TIP","ACT",2,"SHORT NAME ADDED","Y","MANADAGD","INTERCHANGE","2010-03-15"
"1800BYIC0A1","",380416,410602,"Bury Interchange","Stand A","NA","HAYMARKET ST","Bury Interchange","E0028659","","","BCS","MKD","TIP","ACT",2,"SHORT NAME ADDED","Y","MANTMAWD","Stand A","2010-03-15"
"1800BYIC0B1","",380435,410594,"Bury Interchange","Stand B","NA","HAYMARKET ST","Bury Interchange","E0028659","","","BCS","MKD","TIP","ACT",2,"SHORT NAME ADDED","Y","MANTMAWG","Stand B","2010-03-15"
"1800BYIC0C1","",380455,410586,"Bury Interchange","Stand C","NA","HAYMARKET ST","Bury Interchange","E0028659","","","BCS","MKD","TIP","ACT",2,"SHORT NAME ADDED","Y","MANTMAWJ","Stand C","2010-03-15"
"1800BYIC0D1","",380470,410573,"Bury Interchange","Stand D","NA","HAYMARKET ST","Bury Interchange","E0028659","","","BCS","MKD","TIP","ACT",2,"SHORT NAME ADDED","Y","MANTMAWM","Stand D","2010-03-15"
"1800BYIC0E1","",380484,410557,"Bury Interchange","Stand E","NA","HAYMARKET ST","Bury Interchange","E0028659","","","BCS","MKD","TIP","ACT",2,"SHORT NAME ADDED","Y","MANTMAWP","Stand E","2010-03-15"
"1800BYIC0F1","",380469,410541,"Bury Interchange","Stand F","NA","HAYMARKET ST","Bury Interchange","E0028659","","","BCS","MKD","TIP","ACT",2,"SHORT NAME ADDED","Y","MANTMAWT","Stand F","2010-03-15"
